#,Year,Month,Constituency,CountyBoroughUniv,Franchise,ByElectionGeneral,ByElectionCause,Contested,ElectionCode,PollBookCode,Notes,Latitude,Longitude
125,1695,Oct,Abingdon,B,Householder,G,,N,Abingdon_1695a,,,,
126,1698,July,Abingdon,B,Householder,G,,Y,Abingdon_1698a,,,,
127,1701,Jan,Abingdon,B,Householder,G,,N,Abingdon_1701a,,,,
128,1701,Nov,Abingdon,B,Householder,G,,Y,Abingdon_1701b,,,,
129,1702,July,Abingdon,B,Householder,G,,N,Abingdon_1702a,,,,
130,1705,May,Abingdon,B,Householder,G,,Y,Abingdon_1705a,,,,
131,1708,May,Abingdon,B,Scot and Lot,G,,Y,Abingdon_1708a,,,,
132,1710,Oct,Abingdon,B,Scot and Lot,G,,N,Abingdon_1710a,,,,
133,1710,Dec,Abingdon,B,Scot and Lot,B,Called to the Upper House,N,Abingdon_1710b,,,,
134,1713,Aug,Abingdon,B,Scot and Lot,G,,N,Abingdon_1713a,,,,
135,1715,Jan,Abingdon,B,Scot and Lot,G,,Y,Abingdon_1715a,,,,
136,1722,Mar,Abingdon,B,Scot and Lot,G,,Y,Abingdon_1722a,,,,
137,1727,Aug,Abingdon,B,Scot and Lot,G,,Y,Abingdon_1727a,,,,
138,1734,Apr,Abingdon,B,Scot and Lot,G,,Y,Abingdon_1734a,Abingdon_1734a/1; Abingdon_1734a/2,,,
139,1741,May,Abingdon,B,Scot and Lot,G,,N,Abingdon_1741a,,,,
140,1747,June,Abingdon,B,Scot and Lot,G,,N,Abingdon_1747a,,,,
141,1754,Apr,Abingdon,B,Scot and Lot,G,,Y,Abingdon_1754a,Abingdon_1754a/1,,,
142,1761,Mar,Abingdon,B,Scot and Lot,G,,N,Abingdon_1761a,,,,
143,1762,Dec,Abingdon,B,Scot and Lot,B,Re-elected after appointment to office,N,Abingdon_1762a,,,,
144,1768,Mar,Abingdon,B,Scot and Lot,G,,Y,Abingdon_1768a,Abingdon_1768a/1,,,
145,1774,Oct,Abingdon,B,Scot and Lot,G,,Y,Abingdon_1774a,,Election declared void.,,
146,1775,Mar,Abingdon,B,Scot and Lot,B,Previous election declared void,N,Abingdon_1775a,,Previous general election declared void.,,
147,1780,Sept,Abingdon,B,Scot and Lot,G,,Y,Abingdon_1780a,,,,
148,1782,Dec,Abingdon,B,Scot and Lot,B,Vacated seat,N,Abingdon_1782a,,,,
149,1783,May,Abingdon,B,Scot and Lot,B,Deceased,N,Abingdon_1783a,,,,
150,1784,Mar,Abingdon,B,Scot and Lot,G,,N,Abingdon_1784a,,,,
151,1790,June,Abingdon,B,Scot and Lot,G,,N,Abingdon_1790a,,,,
152,1796,May,Abingdon,B,Scot and Lot,G,,N,Abingdon_1796a,,,,
153,1802,July,Abingdon,B,Scot and Lot,G,,Y,Abingdon_1802a,,,,
154,1806,Oct,Abingdon,B,Scot and Lot,G,,Y,Abingdon_1806a,,,,
155,1807,May,Abingdon,B,Scot and Lot,G,,Y,Abingdon_1807a,,,,
