PollBookCode,PrintMS,Citation,Holdings,Source,ElectionCode,Notes
Beds_1695a/1,M,MG/6/1/B/4,Lincolnshire Archives,HoP,Beds_1695a,"Includes votes for William Duncomb and Thomas Browne only, and incomplete. Printed in James Collett-White (ed.), How Bedfordshire Voted, 1685-1735: The Evidence of Local Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2006-8)"
Beds_1705a/1,P,"A copy of the poll… (London, 1705)","Bedfordshire Archives and Records Service, Bedford Town Hall, IHR, GL",Sims; Gibson and Rogers,Beds_1705a,"Printed in James Collett-White (ed.), How Bedfordshire Voted, 1685-1735: The Evidence of Local Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2006-8)"
Beds_1715a/1,P,"A copy of the poll… (London, 1715)","Bedfordshire Archives and Records Service, Bedford Town Hall, Bodl., IHR",Sims; Gibson and Rogers,Beds_1715a,"Printed in James Collett-White (ed.), How Bedfordshire Voted, 1685-1735: The Evidence of Local Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2006-8)"
Beds_1722a/1,P,"A copy of the poll… (London, 1722)","Bedfordshire Archives and Records Service, IHR, BL",Sims; Gibson and Rogers,Beds_1722a,"Printed in James Collett-White (ed.), How Bedfordshire Voted, 1685-1735: The Evidence of Local Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2006-8)"
Beds_1727a/1,M,OR1828,Bedfordshire Archives and Records Service,HoP; Gibson and Rogers,Beds_1727a,"Printed in James Collett-White (ed.), How Bedfordshire Voted, 1685-1735: The Evidence of Local Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2006-8)"
Beds_1727a/2,M,CH15/1,Bedfordshire Archives and Records Service,Gibson and Rogers,Beds_1727a,"Printed in James Collett-White (ed.), How Bedfordshire Voted, 1685-1735: The Evidence of Local Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2006-8)"
Beds_1734a/1,M,OR1829,Bedfordshire Archives and Records Service,Gibson and Rogers,Beds_1734a,"Printed in James Collett-White (ed.), How Bedfordshire Voted, 1685-1735: The Evidence of Local Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2006-8)"
Beds_1734a/2,M,CH923,Bedfordshire Archives and Records Service,Gibson and Rogers,Beds_1734a,"Printed in James Collett-White (ed.), How Bedfordshire Voted, 1685-1735: The Evidence of Local Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2006-8)"
Beds_1774a/1,P,"A copy of the poll… (Bedford: Bartholemew Hyatt, 1775)","Bedfordshire Archives and Records Service, Bedford CL, Bedford Town Hall, BL, Bodl., SoG (MS 'Analysis'), IHR",Sims; Gibson and Rogers; Edwards,Beds_1774a,"Printed in James Collett-White (ed.), How Bedfordshire Voted, 1735-1784: The Evidence of Local Documents and Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2012)"
Beds_1784a/1,P,"A copy of the poll… (n.p., [1784])","Bedfordshire Archives and Records Service, Bedford CL, Bedford Town Hall, BL, IHR",Sims; Gibson and Rogers,Beds_1784a,"Printed in James Collett-White (ed.), How Bedfordshire Voted, 1735-1784: The Evidence of Local Documents and Poll Books (Woodbridge: Bedfordshire Historical Record Society, 2012)"
